		1	3	5	7	9	10	11	13	14	16	17	19	20	21	22
		33109	566631	566742	566750	566783	566798	566802	566993	566999	567238	567260	567439	567443	567547	568098
1	33109	99999	99999	99999	99999	99999	218.2286455	99999	99999	608.5353028	99999	99999	647.8803531	99999	411.5589777	99999
3	566631	99999	99999	99999	586.6612422	417.3922229	99999	99999	240.8495204	99999	203.7893259	655.9728653	99999	99999	99999	99999
5	566742	99999	99999	99999	491.4122135	448.5524759	99999	661.3118611	99999	99999	99999	160.2076766	99999	302.540407	99999	508.0149146
7	566750	99999	586.6612422	491.4122135	99999	517.1334685	99999	441.4144315	657.4025782	99999	405.4647881	442.8382197	625.9581479	683.087554	99999	596.1304443
9	566783	99999	417.3922229	448.5524759	517.1334685	99999	99999	99999	644.0826082	99999	436.3464285	288.7857903	99999	344.5459434	99999	99999
10	566798	218.2286455	99999	99999	99999	99999	99999	99999	99999	521.5875952	99999	99999	469.0095203	99999	201.519605	99999
11	566802	99999	99999	661.3118611	441.4144315	99999	99999	99999	99999	99999	99999	99999	397.3230677	99999	99999	348.6341353
13	566993	99999	240.8495204	99999	657.4025782	644.0826082	99999	99999	99999	99999	268.7278583	99999	99999	99999	99999	99999
14	566999	608.5353028	99999	99999	99999	99999	521.5875952	99999	99999	99999	99999	99999	99999	99999	436.4131138	99999
16	567238	99999	203.7893259	99999	405.4647881	436.3464285	99999	99999	268.7278583	99999	99999	593.8914063	99999	99999	99999	99999
17	567260	99999	655.9728653	160.2076766	442.8382197	288.7857903	99999	99999	99999	99999	593.8914063	99999	99999	244.0525465	99999	633.7259093
19	567439	647.8803531	99999	99999	625.9581479	99999	469.0095203	397.3230677	99999	99999	99999	99999	99999	99999	423.9539249	99999
20	567443	99999	99999	302.540407	683.087554	344.5459434	99999	99999	99999	99999	99999	244.0525465	99999	99999	99999	99999
21	567547	411.5589777	99999	99999	99999	99999	201.519605	99999	99999	436.4131138	99999	99999	423.9539249	99999	99999	99999
22	568098	99999	99999	508.0149146	596.1304443	99999	99999	348.6341353	99999	99999	99999	633.7259093	99999	99999	99999	99999
