32775	102.684	25.06	446.98
32776	102.704	25.0432	274.312
32777	102.706	25.03023	249.574
32778	102.709	24.998528	271.965
32788	102.715	24.98496	220.379
32789	102.728	25.006666	256.042
32841	102.719	25.021111	250.176
32881	102.685	25.0475	279.329
32997	102.736	25.006388	274.961
33048	102.717	24.977778	425.445
33051	102.74	25.025007	353.013
33063	102.728	25.01793	371.782
33067	102.707	25.0186	250.524
33069	102.718	25.07053	173.016
33070	102.731	25.05725	237.699
33073	102.786	25.09205	518.471
33074	102.761	25.079938	324.86
33075	102.76	25.075725	236.825
33077	102.719	25.037206	304.134
33078	102.757	25.07601	304.141
33079	102.764	25.07934	343.676
33094	102.716	25.048055	257.297
33095	102.716	25.0771	429.838
33096	102.755	25.09944	914.484
33099	102.735	25.049904	202.746
33100	102.727	25.06593	246.947
33106	102.725	25.088914	377.416
33108	102.716	25.053948	280.564
33109	102.761	25.043139	336.404
33110	102.731	25.086404	310.811
33111	102.727	25.09178	377.416
33112	102.734	25.084612	303.618
33113	102.743	25.075812	206.464
33114	102.742	25.07373	293.909
33115	102.741	25.0721	374.052
33116	102.751	25.07364	245.008
33117	102.734	25.0486	245.042
33118	102.731	25.08811	350.005
33119	102.724	25.050311	372.291
33120	102.721	25.0797	325.035
33122	102.676	25.05218	352.209
33132	102.693	25.05319	273.544
33133	102.693	25.047132	292.662
33134	102.71	25.047308	315.726
33140	102.705	25.0524	415.165
33153	102.737	25.01661	218.773
33155	102.738	25.0182	244.703
33156	102.74	25.00392	331.855
33157	102.753	25.00966	314.551
33158	102.753	25.03358	188.45
33159	102.748	25.027152	250.102
33160	102.76	25.032181	461.012
33161	102.739	25.00108	331.855
33162	102.757	24.97146	307.228
33163	102.738	25.03018	370.227
33164	102.724	25.02093	235.335
33172	102.724	25.013982	360.395
33180	102.698	24.9878	408.697
33181	102.675	25.00996	333.02
33182	102.681	25.033874	348.784
33184	102.702	25.02281	298.11
33186	102.691	25.032387	238.147
33192	102.709	24.98496	257.722
33194	102.713	25.01367	387.316
33195	102.702	25.028372	336.306
33234	102.759	25.01729	551.784
33235	102.745	24.961261	314.696
33237	102.895	25.050191	1111.201
33238	102.77	24.999525	416.215
33246	102.728	25.063905	171.394
33248	102.77	25.07832	823.261
33545	102.787	24.99018	517.855
33547	102.743	24.978506	322.31
33562	102.727	25.086788	380.625
33566	102.733	25.00237	279.342
33575	102.748	25.06329	451.678
33577	102.755	25.090327	418.393
33589	102.692	24.98608	351.001
33629	102.692	24.995	319.219
33635	102.701	25.0452	136.177
33636	102.7	25.0228	277.985
564499	102.867	25.09281	2029.692
564595	102.836	25.095833	1096.024
565025	102.895	25.095	2346.039
565026	102.872	25.01466	1366.484
565027	102.872	25.026944	408.191
565028	102.872	25.022222	748.165
565029	102.874	25.062222	827.782
565030	102.868	25.031944	563.028
565031	102.868	25.042777	577.898
565033	102.88	25.078888	1322.606
565034	102.866	25.060555	861.984
565035	102.868	25.026388	408.191
565036	102.859	25.034	896.784
565037	102.882	25.037222	758.891
565041	102.782	25.076666	1463.873
565042	102.735	25.042222	314.878
565043	102.805	25.05161	914.185
565044	102.803	25.0675	1531.77
565045	102.783	25.095833	647.035
565046	102.78	25.09017	640.069
565047	102.812	25.065	1649.266
